Epoch: [1][100/100]	Time 16.444	Total_Loss 45.622	CrossLoss 2.478	RegLoss 43.143	image/sec 1.8	remaining 5453m
Epoch: [2][1/100]	Time 0.274	Total_Loss 45.594	CrossLoss 2.464	RegLoss 43.130	image/sec 109.3	remaining 90m
Epoch: [2][2/100]	Time 0.235	Total_Loss 45.483	CrossLoss 2.365	RegLoss 43.117	image/sec 127.4	remaining 78m
Epoch: [2][3/100]	Time 0.238	Total_Loss 45.071	CrossLoss 1.966	RegLoss 43.104	image/sec 126.2	remaining 78m
Epoch: [2][4/100]	Time 0.237	Total_Loss 45.578	CrossLoss 2.487	RegLoss 43.091	image/sec 126.6	remaining 78m
Epoch: [2][5/100]	Time 0.246	Total_Loss 45.200	CrossLoss 2.122	RegLoss 43.078	image/sec 122.2	remaining 81m
Epoch: [2][6/100]	Time 0.249	Total_Loss 45.446	CrossLoss 2.381	RegLoss 43.065	image/sec 120.7	remaining 82m
Epoch: [2][7/100]	Time 0.237	Total_Loss 45.316	CrossLoss 2.265	RegLoss 43.051	image/sec 126.7	remaining 78m
Epoch: [2][8/100]	Time 0.243	Total_Loss 45.115	CrossLoss 2.077	RegLoss 43.038	image/sec 123.2	remaining 80m
Epoch: [2][9/100]	Time 0.244	Total_Loss 45.340	CrossLoss 2.316	RegLoss 43.025	image/sec 123.0	remaining 80m
Epoch: [2][10/100]	Time 0.247	Total_Loss 45.086	CrossLoss 2.075	RegLoss 43.011	image/sec 121.6	remaining 81m
Epoch: [2][11/100]	Time 0.244	Total_Loss 45.258	CrossLoss 2.261	RegLoss 42.997	image/sec 122.9	remaining 80m
Epoch: [2][12/100]	Time 0.252	Total_Loss 44.760	CrossLoss 1.776	RegLoss 42.984	image/sec 119.1	remaining 83m
Epoch: [2][13/100]	Time 0.236	Total_Loss 45.430	CrossLoss 2.460	RegLoss 42.970	image/sec 127.1	remaining 78m
Epoch: [2][14/100]	Time 0.242	Total_Loss 45.288	CrossLoss 2.332	RegLoss 42.956	image/sec 124.1	remaining 80m
Epoch: [2][15/100]	Time 0.257	Total_Loss 44.880	CrossLoss 1.937	RegLoss 42.943	image/sec 116.6	remaining 85m
Epoch: [2][16/100]	Time 0.250	Total_Loss 45.144	CrossLoss 2.215	RegLoss 42.929	image/sec 119.9	remaining 82m
Epoch: [2][17/100]	Time 0.258	Total_Loss 44.932	CrossLoss 2.017	RegLoss 42.915	image/sec 116.5	remaining 85m
Epoch: [2][18/100]	Time 0.245	Total_Loss 45.118	CrossLoss 2.217	RegLoss 42.901	image/sec 122.2	remaining 81m
Epoch: [2][19/100]	Time 0.246	Total_Loss 44.962	CrossLoss 2.075	RegLoss 42.887	image/sec 121.7	remaining 81m
Epoch: [2][20/100]	Time 0.237	Total_Loss 45.117	CrossLoss 2.244	RegLoss 42.873	image/sec 126.5	remaining 78m
Epoch: [2][21/100]	Time 0.242	Total_Loss 44.776	CrossLoss 1.917	RegLoss 42.859	image/sec 124.0	remaining 80m
Epoch: [2][22/100]	Time 0.234	Total_Loss 45.172	CrossLoss 2.327	RegLoss 42.845	image/sec 128.1	remaining 77m
Epoch: [2][23/100]	Time 0.244	Total_Loss 45.104	CrossLoss 2.274	RegLoss 42.831	image/sec 123.2	remaining 80m
Epoch: [2][24/100]	Time 0.252	Total_Loss 45.492	CrossLoss 2.676	RegLoss 42.816	image/sec 119.2	remaining 83m
Epoch: [2][25/100]	Time 0.246	Total_Loss 44.829	CrossLoss 2.027	RegLoss 42.802	image/sec 121.8	remaining 81m
Epoch: [2][26/100]	Time 0.242	Total_Loss 45.080	CrossLoss 2.292	RegLoss 42.788	image/sec 124.2	remaining 80m
Epoch: [2][27/100]	Time 0.247	Total_Loss 44.783	CrossLoss 2.010	RegLoss 42.773	image/sec 121.4	remaining 81m
Epoch: [2][28/100]	Time 0.253	Total_Loss 44.638	CrossLoss 1.879	RegLoss 42.759	image/sec 118.5	remaining 83m
Epoch: [2][29/100]	Time 0.247	Total_Loss 45.435	CrossLoss 2.691	RegLoss 42.744	image/sec 121.7	remaining 81m
Epoch: [2][30/100]	Time 0.246	Total_Loss 44.857	CrossLoss 2.127	RegLoss 42.730	image/sec 122.1	remaining 81m
Epoch: [2][31/100]	Time 0.244	Total_Loss 45.154	CrossLoss 2.438	RegLoss 42.715	image/sec 122.9	remaining 80m
Epoch: [2][32/100]	Time 0.239	Total_Loss 44.680	CrossLoss 1.979	RegLoss 42.701	image/sec 125.5	remaining 79m
Epoch: [2][33/100]	Time 0.449	Total_Loss 44.851	CrossLoss 2.165	RegLoss 42.686	image/sec 66.7	remaining 148m
Epoch: [2][34/100]	Time 0.249	Total_Loss 44.937	CrossLoss 2.265	RegLoss 42.671	image/sec 120.6	remaining 82m
Epoch: [2][35/100]	Time 0.261	Total_Loss 44.782	CrossLoss 2.125	RegLoss 42.656	image/sec 114.7	remaining 86m
Epoch: [2][36/100]	Time 0.251	Total_Loss 44.728	CrossLoss 2.087	RegLoss 42.642	image/sec 119.7	remaining 82m
Epoch: [2][37/100]	Time 0.241	Total_Loss 44.601	CrossLoss 1.974	RegLoss 42.627	image/sec 124.3	remaining 79m
Epoch: [2][38/100]	Time 0.244	Total_Loss 44.965	CrossLoss 2.353	RegLoss 42.612	image/sec 123.0	remaining 80m
Epoch: [2][39/100]	Time 0.241	Total_Loss 44.293	CrossLoss 1.696	RegLoss 42.597	image/sec 124.4	remaining 79m
Epoch: [2][40/100]	Time 0.240	Total_Loss 44.861	CrossLoss 2.279	RegLoss 42.582	image/sec 125.0	remaining 79m
Epoch: [2][41/100]	Time 0.273	Total_Loss 44.307	CrossLoss 1.740	RegLoss 42.567	image/sec 109.8	remaining 90m
Epoch: [2][42/100]	Time 0.246	Total_Loss 44.990	CrossLoss 2.438	RegLoss 42.552	image/sec 122.0	remaining 81m
Epoch: [2][43/100]	Time 0.258	Total_Loss 44.998	CrossLoss 2.461	RegLoss 42.537	image/sec 116.4	remaining 85m
Epoch: [2][44/100]	Time 0.236	Total_Loss 44.800	CrossLoss 2.278	RegLoss 42.522	image/sec 127.0	remaining 78m
Epoch: [2][45/100]	Time 0.240	Total_Loss 44.758	CrossLoss 2.252	RegLoss 42.506	image/sec 125.1	remaining 79m
Epoch: [2][46/100]	Time 0.246	Total_Loss 44.837	CrossLoss 2.346	RegLoss 42.491	image/sec 121.9	remaining 81m
Epoch: [2][47/100]	Time 0.246	Total_Loss 44.162	CrossLoss 1.687	RegLoss 42.476	image/sec 122.1	remaining 81m
Epoch: [2][48/100]	Time 0.254	Total_Loss 44.755	CrossLoss 2.295	RegLoss 42.460	image/sec 118.3	remaining 83m
Epoch: [2][49/100]	Time 0.243	Total_Loss 44.631	CrossLoss 2.186	RegLoss 42.445	image/sec 123.6	remaining 80m
Epoch: [2][50/100]	Time 0.239	Total_Loss 44.673	CrossLoss 2.243	RegLoss 42.430	image/sec 125.3	remaining 79m
Epoch: [2][51/100]	Time 0.250	Total_Loss 44.323	CrossLoss 1.909	RegLoss 42.414	image/sec 120.0	remaining 82m
Epoch: [2][52/100]	Time 0.239	Total_Loss 44.423	CrossLoss 2.024	RegLoss 42.399	image/sec 125.4	remaining 79m
Epoch: [2][53/100]	Time 0.241	Total_Loss 44.171	CrossLoss 1.788	RegLoss 42.383	image/sec 124.7	remaining 79m
Epoch: [2][54/100]	Time 0.245	Total_Loss 45.073	CrossLoss 2.706	RegLoss 42.368	image/sec 122.5	remaining 81m
Epoch: [2][55/100]	Time 0.239	Total_Loss 44.649	CrossLoss 2.297	RegLoss 42.352	image/sec 125.7	remaining 78m
Epoch: [2][56/100]	Time 0.241	Total_Loss 44.917	CrossLoss 2.580	RegLoss 42.336	image/sec 124.4	remaining 79m
Epoch: [2][57/100]	Time 0.248	Total_Loss 44.221	CrossLoss 1.900	RegLoss 42.321	image/sec 120.9	remaining 82m
Epoch: [2][58/100]	Time 0.264	Total_Loss 44.085	CrossLoss 1.780	RegLoss 42.305	image/sec 113.5	remaining 87m
Epoch: [2][59/100]	Time 0.249	Total_Loss 44.553	CrossLoss 2.264	RegLoss 42.289	image/sec 120.6	remaining 82m
Epoch: [2][60/100]	Time 0.268	Total_Loss 44.276	CrossLoss 2.003	RegLoss 42.273	image/sec 111.9	remaining 88m
Epoch: [2][61/100]	Time 0.249	Total_Loss 44.040	CrossLoss 1.782	RegLoss 42.257	image/sec 120.7	remaining 82m
Epoch: [2][62/100]	Time 0.241	Total_Loss 44.414	CrossLoss 2.172	RegLoss 42.242	image/sec 124.6	remaining 79m
Epoch: [2][63/100]	Time 0.257	Total_Loss 44.159	CrossLoss 1.933	RegLoss 42.226	image/sec 116.7	remaining 84m
Epoch: [2][64/100]	Time 0.239	Total_Loss 44.302	CrossLoss 2.092	RegLoss 42.210	image/sec 125.3	remaining 79m
Epoch: [2][65/100]	Time 0.240	Total_Loss 44.870	CrossLoss 2.677	RegLoss 42.194	image/sec 125.2	remaining 79m
Epoch: [2][66/100]	Time 0.239	Total_Loss 44.491	CrossLoss 2.314	RegLoss 42.177	image/sec 125.5	remaining 79m
Epoch: [2][67/100]	Time 0.242	Total_Loss 44.104	CrossLoss 1.943	RegLoss 42.161	image/sec 123.9	remaining 80m
Epoch: [2][68/100]	Time 0.246	Total_Loss 44.202	CrossLoss 2.056	RegLoss 42.145	image/sec 121.8	remaining 81m
Epoch: [2][69/100]	Time 0.243	Total_Loss 44.128	CrossLoss 1.999	RegLoss 42.129	image/sec 123.2	remaining 80m
Epoch: [2][70/100]	Time 0.239	Total_Loss 44.379	CrossLoss 2.266	RegLoss 42.113	image/sec 125.3	remaining 79m
Epoch: [2][71/100]	Time 0.239	Total_Loss 43.985	CrossLoss 1.889	RegLoss 42.097	image/sec 125.5	remaining 79m
Epoch: [2][72/100]	Time 0.243	Total_Loss 44.228	CrossLoss 2.147	RegLoss 42.080	image/sec 123.5	remaining 80m
Epoch: [2][73/100]	Time 0.246	Total_Loss 44.708	CrossLoss 2.644	RegLoss 42.064	image/sec 122.1	remaining 81m
Epoch: [2][74/100]	Time 0.257	Total_Loss 44.147	CrossLoss 2.099	RegLoss 42.048	image/sec 116.9	remaining 84m
Epoch: [2][75/100]	Time 0.243	Total_Loss 44.603	CrossLoss 2.572	RegLoss 42.031	image/sec 123.7	remaining 80m
Epoch: [2][76/100]	Time 0.246	Total_Loss 43.609	CrossLoss 1.595	RegLoss 42.015	image/sec 122.0	remaining 81m
Epoch: [2][77/100]	Time 0.242	Total_Loss 44.363	CrossLoss 2.365	RegLoss 41.999	image/sec 124.1	remaining 79m
Epoch: [2][78/100]	Time 0.247	Total_Loss 44.560	CrossLoss 2.578	RegLoss 41.982	image/sec 121.4	remaining 81m
Epoch: [2][79/100]	Time 0.244	Total_Loss 44.368	CrossLoss 2.402	RegLoss 41.966	image/sec 122.9	remaining 80m
Epoch: [2][80/100]	Time 0.237	Total_Loss 44.184	CrossLoss 2.235	RegLoss 41.949	image/sec 126.5	remaining 78m
